tag,generic,japanese,german,soviet
ABA,,,,
ABK,,,,
ADN,,,,
ADR,,,,
ADU,,,,
AEC,,,,
AEG,,,,
AFA,,,,
AFG,,,,
AFR,,,,
AGU,,,,
AJA,,,,
ALA,オーランド諸島,,,
ALB,,,,
ALG,,,,
ALP,,,,
ALS,,,,
ALT,,,,
ALW,,,,
AMB,カメルーン,,,
AMH,,,,
AMR,,,,
ANG,,,,
ANH,,,,
ANN,,,,
AOS,,,,
APN,,,,
ARA,,,,
ARB,,,,
ARG,,,,
ARK,,,,
ARM,,,,
ARS,,,,
ARU,,,,
ARZ,,,,
ASH,,,,
AST,,,,
ATC,,,,
ATG,,,,
ATR,,,,
ATS,,,,
AUS,,,,
AWC,,,,
AZA,,,,
AZR,,,,
BAH,,,,
BAL,,,,
BAN,ベンガル,,,
BAR,,,,
BAY,,,,
BEG,,,,
BEL,,,,
BEN,,,,
BGL,,,,
BHR,,,,
BHU,,,,
BIA,,,,
BLE,,,,
BLK,,,,
BLR,,,,
BLT,,,,
BLZ,ホンジュラス,,,
BMU,,,,
BNG,,,,
BOL,,,,
BOS,,,,
BOT,ベチュアナランド,,,
BRA,,,,
BRB,,,,
BRD,,,,
BRG,,,,
BRI,,,,
BRL,,,,
BRM,,,,
BRN,,,,
BSK,,,,
BSQ,,,,
BUK,,,,
BUL,,,,
BYA,,,,
BYZ,,,,
CAC,,,,
CAL,,,,
CAM,,,,
CAN,,,,
CAR,,,,
CAT,,,,
CAY,ギアナ,,,
CCH,,,,
CCS,,,,
CEU,,,,
CHA,,,,
CHE,,,,
CHI,,,,
CHL,,,,
CHM,,,,
CHN,,,,
CHR,,,,
CHS,,,,
CHU,,,,
CKK,,,,
CLD,,,,
CLT,,,,
CLU,,,,
CMR,,,,
CNA,,,,
CNT,,,,
COC,,,,
COG,,,,
COK,,,,
COL,,,,
COM,,,,
COR,,,,
COS,,,,
COW,,,,
CPV,,,,
CRC,,,,
CRE,,,,
CRI,,,,
CRL,,,,
CRO,,,,
CRT,,,,
CSC,,,,
CST,,,,
CTB,,,,
CUB,,,,
CYM,,,,
CYP,,,,
CYR,,,,
CZE,,,,
DAG,,,,
DAH,,,,
DAL,,,,
DAM,,,,
DEL,,,,
DEN,,,,
DGB,,,,
DJI,ソマリ海岸,,,
DLI,,,,
DMA,,,,
DNU,,,,
DNZ,,,,
DOM,,,,
DON,,,,
DVN,,,,
DXL,,,,
EAF,,,,
ECU,,,,
EGR,,,,
EGY,,,,
EIN,,,,
ELS,,,,
ENG,,,,
EQA,,,,
EQG,ギニア湾,,,
ERI,,,,
EST,,,,
ETH,,,,
ETR,,,,
EUR,,,,
EVN,,,,
EXT,,,,
EZO,,,,
FEA,,,,
FEZ,,,,
FIJ,,,,
FIN,,,,
FIU,,,,
FKL,,,,
FLN,,,,
FLO,,,,
FNG,,,,
FRA,,,,
FRO,フェロー,,,
FSM,,,,
FUJ,,,,
GAB,,,,
GAL,,,,
GAM,,,,
GAN,,,,
GBA,,,,
GBR,,,,
GDL,,,,
GEG,,,,
GEO,,,,
GER,,,,
GHA,ゴールド・コースト,黄金海岸,,
GIB,,,,
GLA,,,,
GLC,,,,
GNA,,,,
GNB,ギニア,,,
GND,,,,
GOA,,,,
GPA,,,,
GRD,,,,
GRE,,,,
GRL,,,,
GUA,,,,
GUE,,,,
GUM,,,,
GXC,,,,
GYA,ギアナ,,,
GZH,,,,
HAI,,,,
HAN,,,,
HAR,,,,
HAS,,,,
HAT,,,,
HAW,,,,
HEB,,,,
HEN,,,,
HEZ,,,,
HIL,,,,
HIN,,,,
HKG,,,,
HLS,,,,
HNN,,,,
HOL,,,,
HON,,,,
HRZ,,,,
HUB,,,,
HUN,,,,
HYD,,,,
IBE,,,,
ICE,,,,
IDA,,,,
IDI,,,,
IFN,,,,
IGR,,,,
ILI,,,,
INC,,,,
IND,,,,
ING,,,,
INO,,,,
INS,,,,
ION,,,,
IOW,,,,
IQO,,,,
IRE,,,,
IRK,,,,
IRQ,,,,
ISR,,,,
IST,,,,
ITA,,,,
IVO,,,,
JAD,,,,
JAM,,,,
JAP,,,,
JER,,,,
JGS,,,,
JIA,,,,
JOH,,,,
JOR,,,,
KAC,,,,
KAL,,,,
KAM,,,,
KAN,,,,
KAR,,,,
KAS,,,,
KAY,,,,
KAZ,,,,
KBK,,,,
KED,,,,
KEL,,,,
KEN,,,,
KFT,,,,
KHA,,,,
KHB,,,,
KHI,,,,
KIR,ギルバート諸島及びエリス諸島,,,
KKP,,,,
KMV,,,,
KOK,,,,
KOM,,,,
KOR,,,,
KOS,,,,
KRC,,,,
KRE,,,,
KRS,,,,
KRV,,,,
KSH,,,,
KTY,,,,
KUB,,,,
KUM,,,,
KUR,,,,
KUW,,,,
KYR,,,,
LAO,,,,
LAS,,,,
LAT,,,,
LBA,,,,
LEB,,,,
LEW,,,,
LIB,ペッパー・コースト,胡椒海岸,,
LIE,,,,
LIT,,,,
LIV,,,,
LMK,,,,
LMN,,,,
LOD,,,,
LON,,,,
LRJ,,,,
LSO,バストランド,,,
LUI,,,,
LUX,,,,
MAC,,,,
MAD,,,,
MAL,,,,
MAN,,,,
MAS,,,,
MCA,マカオ,,,
MCG,,,,
MCH,,,,
MCO,,,,
MDR,,,,
MEK,,,,
MEL,,,,
MEN,,,,
MEX,,,,
MEZ,,,,
MHL,,,,
MIS,,,,
MLD,モルディブ諸島,,,
MLI,スーダン,,,
MLL,,,,
MLT,,,,
MLW,ニヤサランド,,,
MNE,,,,
MNN,,,,
MNS,,,,
MNT,,,,
MOL,,,,
MON,,,,
MOR,,,,
MOS,,,,
MRD,,,,
MRL,,,,
MRT,,,,
MRV,,,,
MSC,,,,
MSR,,,,
MSS,,,,
MTA,,,,
MTQ,,,,
MUR,,,,
MUS,,,,
MWN,,,,
MYS,,,,
MYT,,,,
MZB,,,,
NAC,,,,
NAF,,,,
NAG,,,,
NAN,,,,
NAV,,,,
NCC,,,,
NCL,,,,
NCR,,,,
NDA,,,,
NEB,,,,
NEJ,,,,
NEL,,,,
NEN,,,,
NEP,,,,
NEV,,,,
NFK,,,,
NFL,,,,
NGA,,,,
NGE,,,,
NGR,,,,
NGU,,,,
NHN,,,,
NIC,,,,
NIG,,,,
NIR,,,,
NIU,,,,
NJE,,,,
NMB,南西アフリカ,,,
NMR,,,,
NMX,,,,
NOA,,,,
NOR,,,,
NRD,,,,
NRM,,,,
NSB,,,,
NTL,,,,
NVS,,,,
NYR,,,,
NZL,,,,
OCC,,,,
OHO,,,,
OKL,,,,
OMA,,,,
OMS,,,,
ORB,,,,
ORE,,,,
ORO,,,,
OTT,,,,
PAD,,,,
PAK,,,,
PAL,,,,
PAN,,,,
PAO,,,,
PAP,,,,
PAR,,,,
PCN,ピトケアン、ヘンダーソン、デュシー及びオエノ諸島,,,
PCZ,,,,
PEN,,,,
PER,,,,
PHI,,,,
PIE,,,,
PLA,,,,
PLW,,,,
PLY,,,,
PNG,パプア及びニューギニア,,,
POD,,,,
POL,,,,
POR,,,,
PRE,,,,
PRL,,,,
PRM,,,,
PRU,,,,
PUD,,,,
PUE,,,,
QAH,,,,
QAT,,,,
QEB,,,,
